occupation_title,soc_code,employment_2024,employment_2034,employment_change_numeric_2024_34,employment_change_percent_2024_34,median_annual_wage_2024
Wind turbine service technicians,49-9081,13.6,20.5,6.8,49.9,62580.0
Solar photovoltaic installers,47-2231,28.6,40.6,12.0,42.1,51860.0
Nurse practitioners,29-1171,320.4,448.8,128.4,40.1,129210.0
Data scientists,15-2051,245.9,328.3,82.5,33.5,112590.0
Information security analysts,15-1212,182.8,234.9,52.1,28.5,124910.0
Medical and health services managers,11-9111,616.2,759.1,142.9,23.2,117960.0
Physical therapist assistants,31-2021,111.5,136.0,24.5,22.0,65510.0
Actuaries,15-2011,33.6,40.9,7.3,21.8,125770.0
Operations research analysts,15-2031,112.1,136.2,24.1,21.5,91290.0
Physician assistants,29-1071,162.7,195.8,33.2,20.4,133260.0
Psychiatric technicians,29-2053,144.5,173.3,28.9,20.0,42590.0
Ophthalmic medical technicians,29-2057,78.8,94.4,15.6,19.8,44080.0
Computer and information research scientists,15-1221,40.3,48.3,7.9,19.7,140910.0
Occupational therapy assistants,31-2011,49.2,58.7,9.5,19.2,68340.0
Financial examiners,13-2061,65.1,77.2,12.1,18.5,90400.0
Hearing aid specialists,29-2092,10.7,12.6,2.0,18.4,61560.0
"Health specialties teachers, postsecondary",25-1071,289.6,339.7,50.1,17.3,105620.0
Home health and personal care aides,31-1120,4347.7,5087.5,739.8,17.0,34900.0
"Nursing instructors and teachers, postsecondary",25-1072,91.6,106.9,15.3,16.8,79940.0
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,483.5,564.6,81.0,16.8,59190.0
Logisticians,13-1081,241.0,281.3,40.3,16.7,80880.0
Epidemiologists,19-1041,12.3,14.3,2.0,16.2,83980.0
Industrial machinery mechanics,49-9041,439.6,510.3,70.7,16.1,63760.0
Software developers,15-1252,1693.8,1961.4,267.7,15.8,133080.0
Massage therapists,31-9011,168.0,193.9,25.9,15.4,57950.0
Computer and information systems managers,11-3021,667.1,768.7,101.6,15.2,171200.0
Speech-language pathologists,29-1127,187.4,215.5,28.2,15.0,95410.0
"Cooks, restaurant",35-2014,1460.2,1677.2,217.0,14.9,36830.0
Financial managers,11-3031,868.6,997.4,128.8,14.8,161700.0
Health information technologists and medical registrars,29-9021,41.9,48.1,6.2,14.7,67310.0
