occupation_title,soc_code,employment_2024,employment_2034,employment_change_numeric_2024_34,employment_change_percent_2024_34,median_annual_wage_2024
Home health and personal care aides,31-1120,4347.7,5087.5,739.8,17.0,34900.0
Software developers,15-1252,1693.8,1961.4,267.7,15.8,133080.0
Stockers and order fillers,53-7065,2764.8,2999.8,235.0,8.5,37090.0
Fast food and counter workers,35-3023,3796.0,4029.2,233.2,6.1,30480.0
"Cooks, restaurant",35-2014,1460.2,1677.2,217.0,14.9,36830.0
Registered nurses,29-1141,3391.0,3557.1,166.1,4.9,93600.0
General and operations managers,11-1021,3712.9,3876.8,164.0,4.4,102950.0
Medical and health services managers,11-9111,616.2,759.1,142.9,23.2,117960.0
Financial managers,11-3031,868.6,997.4,128.8,14.8,161700.0
Nurse practitioners,29-1171,320.4,448.8,128.4,40.1,129210.0
Construction laborers,47-2061,1457.0,1563.4,106.5,7.3,46730.0
Computer and information systems managers,11-3021,667.1,768.7,101.6,15.2,171200.0
Medical assistants,31-9092,811.0,912.2,101.2,12.5,44200.0
Management analysts,13-1111,1075.1,1169.7,94.5,8.8,101190.0
Heavy and tractor-trailer truck drivers,53-3032,2235.1,2324.4,89.3,4.0,57440.0
Data scientists,15-2051,245.9,328.3,82.5,33.5,112590.0
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,483.5,564.6,81.0,16.8,59190.0
Light truck drivers,53-3033,1079.8,1158.6,78.9,7.3,44140.0
Electricians,47-2111,818.7,896.1,77.4,9.5,62350.0
First-line supervisors of food preparation and serving workers,35-1012,1215.0,1288.0,73.0,6.0,42010.0
Accountants and auditors,13-2011,1579.8,1652.6,72.8,4.6,81680.0
Industrial machinery mechanics,49-9041,439.6,510.3,70.7,16.1,63760.0
Market research analysts and marketing specialists,13-1161,941.7,1004.7,63.0,6.7,76950.0
"Maintenance and repair workers, general",49-9071,1629.7,1692.1,62.4,3.8,48620.0
"Managers, all other",11-9199,1333.7,1393.5,59.8,4.5,136550.0
Project management specialists,13-1082,1046.3,1105.0,58.7,5.6,100750.0
Human resources specialists,13-1071,944.3,1002.7,58.4,6.2,72910.0
Information security analysts,15-1212,182.8,234.9,52.1,28.5,124910.0
"Health specialties teachers, postsecondary",25-1071,289.6,339.7,50.1,17.3,105620.0
First-line supervisors of construction trades and extraction workers,47-1011,921.6,970.6,49.0,5.3,78690.0
