occupation_title,soc_code,occupation_type,employment_2024,employment_2034,employment_change_numeric_2024_34,employment_change_percent_2024_34,labor_force_exit_rate_2024_34,occupational_transfer_rate_2024_34,total_separations_rate_2024_34,labor_force_exits_2024_34,occupational_transfers_2024_34,total_separations_2024_34,occupational_openings_2024_34
Chief executives,11-1011,Line item,309.4,322.7,13.3,4.3,3.0,3.6,6.6,9.5,11.4,20.9,22.2
General and operations managers,11-1021,Line item,3712.9,3876.8,164.0,4.4,2.3,5.4,7.7,87.9,204.5,292.3,308.7
Legislators,11-1031,Line item,27.7,28.6,0.9,3.4,2.9,4.5,7.4,0.8,1.3,2.1,2.2
Advertising and promotions managers,11-2011,Line item,27.0,26.4,-0.6,-2.2,2.4,5.5,7.9,0.6,1.5,2.1,2.1
Marketing managers,11-2021,Line item,407.0,433.7,26.7,6.6,2.1,5.4,7.5,8.8,22.8,31.7,34.3
Sales managers,11-2022,Line item,619.5,648.5,29.0,4.7,2.3,5.0,7.3,14.4,31.7,46.1,49.0
Public relations managers,11-2032,Line item,83.2,87.3,4.1,5.0,2.3,5.0,7.3,2.0,4.2,6.2,6.6
Fundraising managers,11-2033,Line item,45.7,47.6,1.9,4.2,2.3,5.0,7.3,1.1,2.3,3.4,3.6
Administrative services managers,11-3012,Line item,271.2,283.8,12.6,4.6,3.2,4.7,7.9,8.9,13.0,22.0,23.2
Facilities managers,11-3013,Line item,151.4,157.1,5.7,3.8,3.7,4.4,8.2,5.8,6.8,12.6,13.2
Computer and information systems managers,11-3021,Line item,667.1,768.7,101.6,15.2,1.8,4.5,6.3,13.1,32.3,45.4,55.6
Financial managers,11-3031,Line item,868.6,997.4,128.8,14.8,2.5,4.1,6.6,23.4,38.3,61.7,74.6
Industrial production managers,11-3051,Line item,241.9,246.5,4.6,1.9,2.4,4.4,6.8,5.8,10.8,16.7,17.1
Purchasing managers,11-3061,Line item,83.5,86.1,2.6,3.1,2.7,4.6,7.3,2.3,3.9,6.2,6.4
"Transportation, storage, and distribution managers",11-3071,Line item,216.7,229.8,13.1,6.1,2.5,5.2,7.7,5.6,11.6,17.2,18.5
