program_name,school,level,format,credits_or_duration,price_raw,program_url,total_price_estimated,cip2020_code,cip2020_code_source
Master of Science in Applied Clinical Informatics,School of Medicine,Master's,Online,36 Credits,"69,662/total",https://www.vanderbilt.edu/online-learning/program/master-of-science-in-applied-clinical-informatics/,69662.0,51.2706,official
Doctor of Nursing Practice,School of Nursing,Doctorate,Online,5 Semesters,"2,057/credit",https://www.vanderbilt.edu/online-learning/program/doctor-of-nursing-practice-program/,,51.3818,official
PhD in Nursing Science,School of Nursing,Doctorate,Online,4 Years,Fully Funded,https://www.vanderbilt.edu/online-learning/program/phd-in-nursing-science/,0.0,51.3808,official
Master of Science in Nursing,School of Nursing,Master's,Online,Varies,"2,057/credit",https://www.vanderbilt.edu/online-learning/program/master-of-science-in-nursing/,,51.3801,"official (matched via plain ""Nursing"" entry)"
Master of Legal Studies,Law School,Master's,Online,30 Credits,"57,060/total",https://www.vanderbilt.edu/online-learning/program/master-of-legal-studies/,57060.0,22.0,official
Master of Engineering in Engineering Management,School of Engineering,Master's,Online,30 Credits,"2,419/credit",https://www.vanderbilt.edu/online-learning/program/master-of-engineering-in-engineering-management/,72570.0,14.0101,official
Master of Science in Computer Science,College of Connected Computing,Master's,Online,30 Credits,"2,419/credit",https://www.vanderbilt.edu/online-learning/program/master-of-science-in-computer-science/,72570.0,11.0701,official
Master of Science in Artificial Intelligence,College of Connected Computing,Master's,Online,30 Credits,NR,https://computing.vanderbilt.edu/2026/06/22/vanderbilts-ccc-launches-master-of-science-in-ai/,,11.0102,algorithmic shortlist (program launched after the official list's Aug 2025 review — not yet covered by it)
Doctor of Ministry in Integrative Chaplaincy,Divinity School,Doctorate,Online,36 Credits,"1,193/credit",https://www.vanderbilt.edu/online-learning/program/doctor-of-ministry-in-integrative-chaplain/,42948.0,39.0602,official
Doctor of Education in Leadership and Learning in Organizations,Peabody College,Doctorate,Online,3 Years,"2,405/credit",https://www.vanderbilt.edu/online-learning/program/edd-in-organizational-learning/,,52.0213,official
Master of Education in Independent School Leadership,Peabody College,Master's,Online,30 Credits,"2,405/credit",https://www.vanderbilt.edu/online-learning/program/independent-school-leadership-med/,72150.0,13.0401,official
Master of Education in Multilingual Education,Peabody College,Master's,Online,30 Credits,"2,492/credit",https://www.vanderbilt.edu/online-learning/program/multilingual-education-online/,74760.0,13.1401,"official (matched via ""Multilingual Learner Education"" entry)"
Master of Education in Innovative Design and Technology in Education,Peabody College,Master's,Online,30 Credits,"2,492/credit",https://www.vanderbilt.edu/online-learning/program/innovative-design-technology-education/,74760.0,13.0501,official (listed as IDeaTE)
Master of Education in Applied Behavior Analysis,Peabody College,Master's,Online,30 Credits,"2,492/credit",https://www.vanderbilt.edu/online-learning/program/applied-behavior-analysis-online-m-ed/,74760.0,42.2814,official
Master of Education in Educational Leadership and Organizational Effectiveness,Peabody College,Master's,Online,30 Credits,"2,492/credit",https://www.vanderbilt.edu/online-learning/program/educational-leadership-online-m/,74760.0,13.0401,"algorithmic/inferred (no exact name match in official list; closest is ""Educational Leadership and Policy"")"
