cip2020_code,proposed_name,year,completions
11.0104,MSc. in Applied Informatics,2012,58.0
11.0104,MSc. in Applied Informatics,2013,74.0
11.0104,MSc. in Applied Informatics,2014,319.0
11.0104,MSc. in Applied Informatics,2015,314.0
11.0104,MSc. in Applied Informatics,2016,336.0
11.0104,MSc. in Applied Informatics,2017,394.0
11.0104,MSc. in Applied Informatics,2018,498.0
11.0104,MSc. in Applied Informatics,2019,611.0
11.0104,MSc. in Applied Informatics,2020,953.0
11.0104,MSc. in Applied Informatics,2021,1019.0
11.0104,MSc. in Applied Informatics,2022,1018.0
11.0104,MSc. in Applied Informatics,2023,1219.0
11.0104,MSc. in Applied Informatics,2024,1358.0
30.7102,MSc. in Business Analytics,2020,258.0
30.7102,MSc. in Business Analytics,2021,306.0
30.7102,MSc. in Business Analytics,2022,1220.0
30.7102,MSc. in Business Analytics,2023,3488.0
30.7102,MSc. in Business Analytics,2024,6456.0
30.7001,MSc. in Data Science,2020,160.0
30.7001,MSc. in Data Science,2021,271.0
30.7001,MSc. in Data Science,2022,1183.0
30.7001,MSc. in Data Science,2023,2325.0
30.7001,MSc. in Data Science,2024,4322.0
11.0401,MSc. in Information Science,2012,3922.0
11.0401,MSc. in Information Science,2013,4138.0
11.0401,MSc. in Information Science,2014,4519.0
11.0401,MSc. in Information Science,2015,5364.0
11.0401,MSc. in Information Science,2016,6338.0
11.0401,MSc. in Information Science,2017,6911.0
11.0401,MSc. in Information Science,2018,6913.0
11.0401,MSc. in Information Science,2019,6516.0
11.0401,MSc. in Information Science,2020,6609.0
11.0401,MSc. in Information Science,2021,6396.0
11.0401,MSc. in Information Science,2022,5850.0
11.0401,MSc. in Information Science,2023,8428.0
11.0401,MSc. in Information Science,2024,10368.0
45.0603,MSc. in Quantitative Economics,2012,37.0
45.0603,MSc. in Quantitative Economics,2013,53.0
45.0603,MSc. in Quantitative Economics,2014,84.0
45.0603,MSc. in Quantitative Economics,2015,128.0
45.0603,MSc. in Quantitative Economics,2016,331.0
45.0603,MSc. in Quantitative Economics,2017,921.0
45.0603,MSc. in Quantitative Economics,2018,1639.0
45.0603,MSc. in Quantitative Economics,2019,2251.0
45.0603,MSc. in Quantitative Economics,2020,2779.0
45.0603,MSc. in Quantitative Economics,2021,3384.0
45.0603,MSc. in Quantitative Economics,2022,3577.0
45.0603,MSc. in Quantitative Economics,2023,4337.0
45.0603,MSc. in Quantitative Economics,2024,4198.0
