cip2020_title,score,band,employment_weighted_openings,employment_weighted_growth_pct,completions_latest_year,pct_completions_latest_year,pct_employment_weighted_openings,pct_completions_trend_pct,pct_employment_weighted_growth_pct,pct_bls_top30_flag,in_bls_top30_flag,is_finalist,proposed_name
Management Science,95.1,Go,246.89,5.32,23761.0,99.8,99.7,96.9,71.3,100.0,t,f,
"Data Science, General",93.9,Go,91.29,17.32,4322.0,96.4,85.7,97.9,97.2,100.0,t,t,MSc. in Data Science
Family Practice Nurse/Nursing,93.4,Go,171.31,8.15,12710.0,99.1,97.3,83.9,79.4,100.0,t,f,
Psychiatric/Mental Health Nurse/Nursing,92.7,Go,171.31,8.15,1779.0,91.9,97.3,93.4,79.4,100.0,t,f,
Nursing Administration,92.5,Go,159.20,10.11,6133.0,97.6,96.8,77.5,83.8,100.0,t,f,
Informatics,92.3,Go,98.36,14.66,1358.0,90.5,89.2,97.5,91.8,100.0,t,t,MSc. in Applied Informatics
Econometrics and Quantitative Economics,92.0,Go,91.51,8.90,4198.0,96.3,85.9,99.6,82.6,100.0,t,t,MSc. in Quantitative Economics
Business Analytics,91.6,Go,85.45,10.61,6456.0,97.6,83.3,97.7,84.2,100.0,t,t,MSc. in Business Analytics
Information Technology,91.4,Go,86.76,14.38,10351.0,98.5,83.8,87.4,90.9,100.0,t,f,
Information Science/Studies,90.3,Go,87.19,14.39,10368.0,98.6,84.2,78.4,91.0,100.0,t,t,MSc. in Information Science
Adult Health Nurse/Nursing,89.7,Go,171.31,8.15,1814.0,92.0,97.3,73.6,79.4,100.0,t,f,
Computer Software Engineering,89.1,Go,95.37,14.04,2852.0,94.3,86.3,76.3,89.6,100.0,t,f,
Health/Health Care Administration/Management,88.9,Go,62.10,23.20,12880.0,99.1,77.4,73.7,99.5,100.0,t,f,
Research Methodology and Quantitative Methods,88.6,Go,101.30,4.41,1549.0,91.0,90.9,99.9,60.4,100.0,t,f,
"Computer Engineering, General",88.6,Go,95.37,14.04,3575.0,95.3,86.3,71.0,89.6,100.0,t,f,
Digital Communication and Media/Multimedia,88.6,Go,95.82,4.66,2968.0,94.5,87.0,94.7,66.3,100.0,t,f,
Information Technology Project Management,88.5,Go,85.73,7.22,1607.0,91.5,83.4,95.5,78.2,100.0,t,f,
Data Modeling/Warehousing and Database Administration,88.3,Go,42.43,17.84,2822.0,94.2,68.7,98.9,97.6,100.0,t,f,
Geriatric Nurse/Nursing,87.8,Go,171.31,8.15,446.0,79.6,97.3,85.5,79.4,100.0,t,f,
Financial Analytics,87.4,Go,77.64,10.56,965.0,87.8,80.8,95.1,84.0,100.0,t,f,
"Data Analytics, General",87.3,Go,75.58,11.98,931.0,87.1,80.3,94.8,86.0,100.0,t,f,
Anesthesiologist Assistant,87.3,Go,112.30,12.50,360.0,76.7,94.8,85.2,87.1,100.0,t,f,
Critical Care Nursing,87.1,Go,171.31,8.15,431.0,79.2,97.3,81.3,79.4,100.0,t,f,
Industrial and Physical Pharmacy and Cosmetic Sciences,87.1,Go,82.77,6.15,954.0,87.5,82.7,99.2,74.4,100.0,t,f,
Computer and Information Systems Security/Auditing/Information Assurance,86.9,Go,37.88,11.81,8513.0,98.2,67.8,95.3,85.5,100.0,t,f,
"Computer Programming/Programmer, General",86.3,Go,97.36,14.19,352.0,76.2,87.7,90.6,90.3,100.0,t,f,
"Computer and Information Sciences, General",86.3,Go,41.97,11.17,21233.0,99.7,68.5,87.8,84.5,100.0,t,f,
Mathematics and Computer Science,86.2,Go,87.19,14.39,375.0,77.6,84.2,93.7,91.0,100.0,t,f,
"Research and Experimental Psychology, Other",86.2,Go,99.02,4.46,670.0,83.6,89.6,99.7,62.2,100.0,t,f,
Educational Evaluation and Research,85.5,Go,89.03,8.02,473.0,80.1,85.0,94.3,79.0,100.0,t,f,
Industrial and Organizational Psychology,85.3,Go,96.93,6.36,1990.0,92.6,87.3,67.0,74.9,100.0,t,f,
"Psychology, Other",85.3,Go,99.02,4.46,2060.0,93.0,89.6,74.8,62.2,100.0,t,f,
"Public Health, General",85.3,Go,47.84,20.08,11934.0,98.8,70.0,66.4,98.1,100.0,t,f,
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other",85.2,Go,171.31,8.15,1213.0,89.9,97.3,47.3,79.4,100.0,t,f,
Geographic Information Science and Cartography,85.1,Go,101.51,4.52,694.0,83.9,91.2,85.5,65.1,100.0,t,f,
Clinical Nurse Leader,85.0,Go,159.20,10.11,413.0,78.7,96.8,65.0,83.8,100.0,t,f,
Human Computer Interaction,85.0,Go,41.83,11.76,1261.0,90.3,68.3,97.0,85.5,100.0,t,f,
"Modeling, Virtual Environments and Simulation",84.8,Go,97.80,16.63,195.0,68.4,88.7,89.6,95.0,100.0,t,f,
Project Management,84.7,Go,90.60,5.01,1405.0,90.8,85.6,75.1,70.1,100.0,t,f,
Financial Mathematics,84.7,Go,21.84,14.32,4608.0,96.8,58.5,96.8,90.8,100.0,t,f,
"Business Administration and Management, General",84.7,Go,226.95,4.15,97150.0,100.0,98.9,42.6,57.7,100.0,t,f,
Forensic Psychology,84.6,Go,99.02,4.46,1587.0,91.3,89.6,73.0,62.2,100.0,t,f,
Applied Psychology,84.4,Go,99.02,4.46,1258.0,90.2,89.6,74.1,62.2,100.0,t,f,
Health Services Administration,84.3,Go,62.10,23.20,1112.0,89.0,77.4,63.1,99.5,100.0,t,f,
