cip2020_code,cip2020_title,latest_year,completions_latest_year,trend_earliest_year,completions_trend_pct,matched_soc_codes,n_socs_used,employment_weighted_openings,employment_weighted_growth_pct,in_bls_top30_flag,already_offered_by_vanderbilt
1.0000,"Agriculture, General",2024,360.0,2012,13.9,"19-1013, 19-4012, 19-1012",3,1.97,5.33,f,f
1.0101,"Agricultural Business and Management, General",2024,97.0,2012,61.7,"11-9013, 45-1011, 25-1041",3,78.99,-0.96,f,f
1.0102,Agribusiness/Agricultural Business Operations,2024,35.0,2012,16.7,"11-9013, 25-1041",2,84.43,-1.23,f,f
1.0103,Agricultural Economics,2024,184.0,2012,-57.7,"19-3011, 25-1063, 25-1041",3,0.98,2.23,f,f
1.0104,Farm/Farm and Ranch Management,2024,3.0,2012,-62.5,"11-9013, 45-1011, 25-9021",3,78.84,-1.04,f,f
1.0106,Agricultural Business Technology/Technician,2022,0.0,2018,-100.0,"43-1011, 15-1232",2,111.44,-1.38,f,f
1.0199,"Agricultural Business and Management, Other",2024,9.0,2012,125.0,"11-9013, 45-1011, 25-1041",3,78.99,-0.96,f,f
1.0201,"Agricultural Mechanization, General",2021,0.0,2012,,"49-3041, 25-1041",2,3.08,9.51,f,f
1.0301,"Agricultural Production Operations, General",2024,11.0,2012,-21.4,"11-9013, 45-1011, 25-1041",3,78.99,-0.96,f,f
1.0302,Animal/Livestock Husbandry and Production,2024,2.0,2015,100.0,"11-9013, 45-1011, 25-9021",3,78.84,-1.04,f,f
1.0303,Aquaculture,2024,29.0,2012,-6.5,"11-9013, 45-1011, 25-1041",3,78.99,-0.96,f,f
1.0304,Crop Production,2018,0.0,2012,-100.0,"11-9013, 45-1011, 25-9021",3,78.84,-1.04,f,f
1.0307,Horse Husbandry/Equine Science and Management,2024,0.0,2013,-100.0,"11-9013, 45-1011, 25-9021",3,78.84,-1.04,f,f
1.0308,Agroecology and Sustainable Agriculture,2024,120.0,2012,500.0,"11-9013, 45-1011, 19-1031",3,77.54,-0.89,f,f
1.0401,Agricultural and Food Products Processing,2021,0.0,2012,-100.0,"45-1011, 19-4013, 45-2011",3,6.50,2.82,f,f
