cip2020_code,cip2020_title,already_offered_by_vanderbilt,pct_completions_latest_year,pct_completions_trend_pct,pct_employment_weighted_openings,pct_employment_weighted_growth_pct,pct_bls_top30_flag,n_metrics_used,score,band
52.1301,Management Science,f,99.8,96.9,99.7,71.3,100.0,5,95.1,Go
30.7001,"Data Science, General",f,96.4,97.9,85.7,97.2,100.0,5,93.9,Go
51.3805,Family Practice Nurse/Nursing,f,99.1,83.9,97.3,79.4,100.0,5,93.4,Go
11.0102,Artificial Intelligence,t,89.3,96.7,90.9,97.6,100.0,5,93.2,
51.3810,Psychiatric/Mental Health Nurse/Nursing,f,91.9,93.4,97.3,79.4,100.0,5,92.7,Go
51.3802,Nursing Administration,f,97.6,77.5,96.8,83.8,100.0,5,92.5,Go
11.0104,Informatics,f,90.5,97.5,89.2,91.8,100.0,5,92.3,Go
45.0603,Econometrics and Quantitative Economics,f,96.3,99.6,85.9,82.6,100.0,5,92.0,Go
11.0701,Computer Science,t,99.8,87.1,84.2,91.0,100.0,5,91.9,
30.7102,Business Analytics,f,97.6,97.7,83.3,84.2,100.0,5,91.6,Go
11.0103,Information Technology,f,98.5,87.4,83.8,90.9,100.0,5,91.4,Go
11.0401,Information Science/Studies,f,98.6,78.4,84.2,91.0,100.0,5,90.3,Go
42.2814,Applied Behavior Analysis,t,96.7,97.2,88.1,68.3,100.0,5,90.3,
51.3801,Registered Nursing/Registered Nurse,t,99.6,66.7,98.7,70.8,100.0,5,90.1,
51.3803,Adult Health Nurse/Nursing,f,92.0,73.6,97.3,79.4,100.0,5,89.7,Go
52.0213,Organizational Leadership,t,97.7,86.9,86.9,74.6,100.0,5,89.6,
14.0903,Computer Software Engineering,f,94.3,76.3,86.3,89.6,100.0,5,89.1,Go
51.0701,Health/Health Care Administration/Management,f,99.1,73.7,77.4,99.5,100.0,5,88.9,Go
9.0702,Digital Communication and Media/Multimedia,f,94.5,94.7,87.0,66.3,100.0,5,88.6,Go
14.0901,"Computer Engineering, General",f,95.3,71.0,86.3,89.6,100.0,5,88.6,Go
45.0102,Research Methodology and Quantitative Methods,f,91.0,99.9,90.9,60.4,100.0,5,88.6,Go
11.1005,Information Technology Project Management,f,91.5,95.5,83.4,78.2,100.0,5,88.5,Go
11.0802,Data Modeling/Warehousing and Database Administration,f,94.2,98.9,68.7,97.6,100.0,5,88.3,Go
51.3821,Geriatric Nurse/Nursing,f,79.6,85.5,97.3,79.4,100.0,5,87.8,Go
30.7104,Financial Analytics,f,87.8,95.1,80.8,84.0,100.0,5,87.4,Go
30.7101,"Data Analytics, General",f,87.1,94.8,80.3,86.0,100.0,5,87.3,Go
51.0809,Anesthesiologist Assistant,f,76.7,85.2,94.8,87.1,100.0,5,87.3,Go
51.2009,Industrial and Physical Pharmacy and Cosmetic Sciences,f,87.5,99.2,82.7,74.4,100.0,5,87.1,Go
51.3814,Critical Care Nursing,f,79.2,81.3,97.3,79.4,100.0,5,87.1,Go
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,f,98.2,95.3,67.8,85.5,100.0,5,86.9,Go
11.0101,"Computer and Information Sciences, General",f,99.7,87.8,68.5,84.5,100.0,5,86.3,Go
11.0201,"Computer Programming/Programmer, General",f,76.2,90.6,87.7,90.3,100.0,5,86.3,Go
30.0801,Mathematics and Computer Science,f,77.6,93.7,84.2,91.0,100.0,5,86.2,Go
42.2799,"Research and Experimental Psychology, Other",f,83.6,99.7,89.6,62.2,100.0,5,86.2,Go
51.3818,Nursing Practice,t,81.6,65.4,96.8,83.8,100.0,5,85.9,
13.0601,Educational Evaluation and Research,f,80.1,94.3,85.0,79.0,100.0,5,85.5,Go
42.2804,Industrial and Organizational Psychology,f,92.6,67.0,87.3,74.9,100.0,5,85.3,Go
42.9999,"Psychology, Other",f,93.0,74.8,89.6,62.2,100.0,5,85.3,Go
51.2201,"Public Health, General",f,98.8,66.4,70.0,98.1,100.0,5,85.3,Go
