cip2020_code,cip2020_title,score,completions_latest_year,employment_weighted_openings,n_socs_used,no_labor_data,has_soc_11_1021,matched_soc_codes
52.1301,Management Science,95.1,23761.0,246.89,3,f,t,"11-1021, 13-1111, 11-1011"
30.7001,"Data Science, General",93.9,4322.0,91.29,3,f,f,"15-1252, 11-3021, 15-2051"
51.3805,Family Practice Nurse/Nursing,93.4,12710.0,171.31,3,f,f,"29-1141, 29-1171, 25-1072"
51.3810,Psychiatric/Mental Health Nurse/Nursing,92.7,1779.0,171.31,3,f,f,"29-1141, 29-1171, 25-1072"
51.3802,Nursing Administration,92.5,6133.0,159.20,3,f,f,"29-1141, 11-9111, 29-1171"
11.0104,Informatics,92.3,1358.0,98.36,3,f,f,"15-1252, 15-1253, 15-1255"
45.0603,Econometrics and Quantitative Economics,92.0,4198.0,91.51,3,f,f,"11-9199, 15-2051, 19-4061"
30.7102,Business Analytics,91.6,6456.0,85.45,3,f,f,"13-1111, 13-1161, 15-2051"
11.0103,Information Technology,91.4,10351.0,86.76,3,f,f,"15-1252, 11-3021, 15-1211"
11.0401,Information Science/Studies,90.3,10368.0,87.19,3,f,f,"15-1252, 11-3021, 15-1299"
51.3803,Adult Health Nurse/Nursing,89.7,1814.0,171.31,3,f,f,"29-1141, 29-1171, 25-1072"
14.0903,Computer Software Engineering,89.1,2852.0,95.37,3,f,f,"15-1252, 11-9041, 15-1253"
51.0701,Health/Health Care Administration/Management,88.9,12880.0,62.10,1,f,f,11-9111
9.0702,Digital Communication and Media/Multimedia,88.6,2968.0,95.82,3,f,f,"11-9199, 15-1255, 25-1122"
45.0102,Research Methodology and Quantitative Methods,88.6,1549.0,101.30,3,f,f,"11-9199, 19-3099, 15-2041"
14.0901,"Computer Engineering, General",88.6,3575.0,95.37,3,f,f,"15-1252, 11-9041, 15-1253"
11.1005,Information Technology Project Management,88.5,1607.0,85.73,3,f,f,"11-9199, 13-1082, 11-3021"
11.0802,Data Modeling/Warehousing and Database Administration,88.3,2822.0,42.43,3,f,f,"11-3021, 15-2051, 25-1194"
51.3821,Geriatric Nurse/Nursing,87.8,446.0,171.31,3,f,f,"29-1141, 29-1171, 25-1072"
30.7104,Financial Analytics,87.4,965.0,77.64,3,f,f,"13-1111, 11-3031, 13-2051"
30.7101,"Data Analytics, General",87.3,931.0,75.58,3,f,f,"13-1111, 15-2051, 25-1199"
51.0809,Anesthesiologist Assistant,87.3,360.0,112.30,1,f,f,31-9092
51.3814,Critical Care Nursing,87.1,431.0,171.31,3,f,f,"29-1141, 29-1171, 25-1072"
51.2009,Industrial and Physical Pharmacy and Cosmetic Sciences,87.1,954.0,82.77,3,f,f,"11-9199, 25-1071, 11-3051"
11.1003,Computer and Information Systems Security/Auditing/Information Assurance,86.9,8513.0,37.88,3,f,f,"11-3021, 15-1244, 15-1212"
11.0101,"Computer and Information Sciences, General",86.3,21233.0,41.97,3,f,f,"11-3021, 15-1211, 15-1299"
11.0201,"Computer Programming/Programmer, General",86.3,352.0,97.36,3,f,f,"15-1252, 15-1253, 15-1231"
30.0801,Mathematics and Computer Science,86.2,375.0,87.19,3,f,f,"15-1252, 11-3021, 15-1299"
42.2799,"Research and Experimental Psychology, Other",86.2,670.0,99.02,3,f,f,"11-9199, 19-3039, 25-1066"
13.0601,Educational Evaluation and Research,85.5,473.0,89.03,3,f,f,"13-1111, 25-1081, 19-3099"
42.9999,"Psychology, Other",85.3,2060.0,99.02,3,f,f,"11-9199, 19-3039, 25-1066"
51.2201,"Public Health, General",85.3,11934.0,47.84,3,f,f,"11-9111, 25-1071, 21-1091"
42.2804,Industrial and Organizational Psychology,85.3,1990.0,96.93,3,f,f,"11-9199, 13-1111, 13-1071"
51.3899,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other",85.2,1213.0,171.31,3,f,f,"29-1141, 29-1171, 25-1072"
45.0702,Geographic Information Science and Cartography,85.1,694.0,101.51,3,f,f,"11-9199, 17-3031, 17-1021"
30.3101,Human Computer Interaction,85.0,1261.0,41.83,3,f,f,"11-3021, 15-1299, 15-1255"
51.3820,Clinical Nurse Leader,85.0,413.0,159.20,3,f,f,"29-1141, 11-9111, 29-1171"
11.0804,"Modeling, Virtual Environments and Simulation",84.8,195.0,97.80,3,f,f,"15-1252, 15-2051, 15-1251"
52.0201,"Business Administration and Management, General",84.7,97150.0,226.95,3,f,t,"11-1021, 11-9199, 13-1199"
27.0305,Financial Mathematics,84.7,4608.0,21.84,3,f,f,"13-2051, 15-2051, 13-2099"
