2024 National Employment Matrix title,2024 National Employment Matrix code,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Median annual wage, dollars, 2024"
"Total, all occupations",00-0000,"169,956.1","175,167.9","5,211.8",3.1,"49,500"
Home health and personal care aides,31-1120,"4,347.7","5,087.5",739.8,17.0,"34,900"
Software developers,15-1252,"1,693.8","1,961.4",267.7,15.8,"133,080"
Stockers and order fillers,53-7065,"2,764.8","2,999.8",235.0,8.5,"37,090"
Fast food and counter workers,35-3023,"3,796.0","4,029.2",233.2,6.1,"30,480"
"Cooks, restaurant",35-2014,"1,460.2","1,677.2",217.0,14.9,"36,830"
Registered nurses,29-1141,"3,391.0","3,557.1",166.1,4.9,"93,600"
General and operations managers,11-1021,"3,712.9","3,876.8",164.0,4.4,"102,950"
Medical and health services managers,11-9111,616.2,759.1,142.9,23.2,"117,960"
Financial managers,11-3031,868.6,997.4,128.8,14.8,"161,700"
Nurse practitioners,29-1171,320.4,448.8,128.4,40.1,"129,210"
Construction laborers,47-2061,"1,457.0","1,563.4",106.5,7.3,"46,730"
Computer and information systems managers,11-3021,667.1,768.7,101.6,15.2,"171,200"
Medical assistants,31-9092,811.0,912.2,101.2,12.5,"44,200"
Management analysts,13-1111,"1,075.1","1,169.7",94.5,8.8,"101,190"
Heavy and tractor-trailer truck drivers,53-3032,"2,235.1","2,324.4",89.3,4.0,"57,440"
Data scientists,15-2051,245.9,328.3,82.5,33.5,"112,590"
"Substance abuse, behavioral disorder, and mental health counselors",21-1018,483.5,564.6,81.0,16.8,"59,190"
Light truck drivers,53-3033,"1,079.8","1,158.6",78.9,7.3,"44,140"
Electricians,47-2111,818.7,896.1,77.4,9.5,"62,350"
First-line supervisors of food preparation and serving workers,35-1012,"1,215.0","1,288.0",73.0,6.0,"42,010"
Accountants and auditors,13-2011,"1,579.8","1,652.6",72.8,4.6,"81,680"
Industrial machinery mechanics,49-9041,439.6,510.3,70.7,16.1,"63,760"
Market research analysts and marketing specialists,13-1161,941.7,"1,004.7",63.0,6.7,"76,950"
"Maintenance and repair workers, general",49-9071,"1,629.7","1,692.1",62.4,3.8,"48,620"
"Managers, all other",11-9199,"1,333.7","1,393.5",59.8,4.5,"136,550"
Project management specialists,13-1082,"1,046.3","1,105.0",58.7,5.6,"100,750"
Human resources specialists,13-1071,944.3,"1,002.7",58.4,6.2,"72,910"
Information security analysts,15-1212,182.8,234.9,52.1,28.5,"124,910"
"Health specialties teachers, postsecondary",25-1071,289.6,339.7,50.1,17.3,"105,620"
First-line supervisors of construction trades and extraction workers,47-1011,921.6,970.6,49.0,5.3,"78,690"
