CIP6 ID,CIP6,Year,Completions
10000,General Agriculture,2012,316.0
10000,General Agriculture,2013,287.0
10000,General Agriculture,2014,282.0
10000,General Agriculture,2015,246.0
10000,General Agriculture,2016,306.0
10000,General Agriculture,2017,311.0
10000,General Agriculture,2018,301.0
10000,General Agriculture,2019,313.0
10000,General Agriculture,2020,294.0
10000,General Agriculture,2021,320.0
10000,General Agriculture,2022,344.0
10000,General Agriculture,2023,403.0
10000,General Agriculture,2024,360.0
10101,General Agriculture Management,2012,60.0
10101,General Agriculture Management,2013,67.0
10101,General Agriculture Management,2014,73.0
10101,General Agriculture Management,2015,86.0
10101,General Agriculture Management,2016,79.0
10101,General Agriculture Management,2017,80.0
10101,General Agriculture Management,2018,66.0
10101,General Agriculture Management,2019,72.0
10101,General Agriculture Management,2020,42.0
10101,General Agriculture Management,2021,58.0
10101,General Agriculture Management,2022,83.0
10101,General Agriculture Management,2023,82.0
10101,General Agriculture Management,2024,97.0
10102,Agricultural Business Operations,2012,30.0
10102,Agricultural Business Operations,2013,33.0
10102,Agricultural Business Operations,2014,18.0
10102,Agricultural Business Operations,2015,34.0
10102,Agricultural Business Operations,2016,43.0
10102,Agricultural Business Operations,2017,44.0
10102,Agricultural Business Operations,2018,44.0
10102,Agricultural Business Operations,2019,31.0
10102,Agricultural Business Operations,2020,44.0
10102,Agricultural Business Operations,2021,31.0
10102,Agricultural Business Operations,2022,35.0
10102,Agricultural Business Operations,2023,31.0
10102,Agricultural Business Operations,2024,35.0
10103,Agricultural Economics,2012,435.0
10103,Agricultural Economics,2013,413.0
10103,Agricultural Economics,2014,422.0
10103,Agricultural Economics,2015,434.0
10103,Agricultural Economics,2016,444.0
10103,Agricultural Economics,2017,490.0
10103,Agricultural Economics,2018,338.0
10103,Agricultural Economics,2019,383.0
10103,Agricultural Economics,2020,350.0
10103,Agricultural Economics,2021,226.0
10103,Agricultural Economics,2022,211.0
10103,Agricultural Economics,2023,175.0
10103,Agricultural Economics,2024,184.0
10104,Farm & Ranch Management,2012,8.0
10104,Farm & Ranch Management,2013,8.0
10104,Farm & Ranch Management,2014,12.0
10104,Farm & Ranch Management,2015,10.0
10104,Farm & Ranch Management,2016,7.0
10104,Farm & Ranch Management,2017,3.0
10104,Farm & Ranch Management,2018,6.0
10104,Farm & Ranch Management,2019,5.0
10104,Farm & Ranch Management,2020,2.0
10104,Farm & Ranch Management,2021,4.0
10104,Farm & Ranch Management,2022,3.0
10104,Farm & Ranch Management,2023,3.0
10104,Farm & Ranch Management,2024,3.0
10106,Agricultural Business Technology,2018,2.0
10106,Agricultural Business Technology,2019,0.0
10106,Agricultural Business Technology,2020,0.0
10106,Agricultural Business Technology,2021,0.0
10106,Agricultural Business Technology,2022,0.0
10199,Other Agricultural Business & Management,2012,4.0
10199,Other Agricultural Business & Management,2013,4.0
10199,Other Agricultural Business & Management,2014,3.0
10199,Other Agricultural Business & Management,2015,3.0
10199,Other Agricultural Business & Management,2016,4.0
10199,Other Agricultural Business & Management,2017,7.0
10199,Other Agricultural Business & Management,2018,8.0
10199,Other Agricultural Business & Management,2019,5.0
10199,Other Agricultural Business & Management,2020,11.0
10199,Other Agricultural Business & Management,2021,7.0
10199,Other Agricultural Business & Management,2022,12.0
10199,Other Agricultural Business & Management,2023,18.0
10199,Other Agricultural Business & Management,2024,9.0
10201,General Agricultural Mechanization,2012,0.0
10201,General Agricultural Mechanization,2013,0.0
10201,General Agricultural Mechanization,2014,1.0
10201,General Agricultural Mechanization,2015,0.0
10201,General Agricultural Mechanization,2016,3.0
10201,General Agricultural Mechanization,2017,2.0
10201,General Agricultural Mechanization,2018,1.0
10201,General Agricultural Mechanization,2019,1.0
10201,General Agricultural Mechanization,2020,0.0
10201,General Agricultural Mechanization,2021,0.0
10301,General Agricultural Production Operations,2012,14.0
10301,General Agricultural Production Operations,2013,20.0
10301,General Agricultural Production Operations,2014,11.0
10301,General Agricultural Production Operations,2015,7.0
10301,General Agricultural Production Operations,2016,11.0
10301,General Agricultural Production Operations,2017,9.0
10301,General Agricultural Production Operations,2018,7.0
10301,General Agricultural Production Operations,2019,10.0
10301,General Agricultural Production Operations,2020,6.0
10301,General Agricultural Production Operations,2021,8.0
10301,General Agricultural Production Operations,2022,10.0
10301,General Agricultural Production Operations,2023,9.0
10301,General Agricultural Production Operations,2024,11.0
10302,Animal Husbandry & Production,2015,1.0
10302,Animal Husbandry & Production,2016,1.0
10302,Animal Husbandry & Production,2017,4.0
10302,Animal Husbandry & Production,2018,1.0
10302,Animal Husbandry & Production,2019,2.0
10302,Animal Husbandry & Production,2020,0.0
10302,Animal Husbandry & Production,2024,2.0
10303,Aquaculture,2012,31.0
10303,Aquaculture,2013,32.0
10303,Aquaculture,2014,32.0
