program_name,school,level,format,credits_or_duration,price_raw,program_url
"Master of Science in Applied Clinical Informatics","School of Medicine","Master's","Online","36 Credits","69,662/total","https://www.vanderbilt.edu/online-learning/program/master-of-science-in-applied-clinical-informatics/"
"Doctor of Nursing Practice","School of Nursing","Doctorate","Online","5 Semesters","2,057/credit","https://www.vanderbilt.edu/online-learning/program/doctor-of-nursing-practice-program/"
"PhD in Nursing Science","School of Nursing | Graduate School","Doctorate","Online","4 Years","Fully Funded","https://www.vanderbilt.edu/online-learning/program/phd-in-nursing-science/"
"Master of Science in Nursing","School of Nursing","Master's","Online","Varies","2,057/credit","https://www.vanderbilt.edu/online-learning/program/master-of-science-in-nursing/"
"Master of Legal Studies","Law School","Master's","Online","30 Credits","57,060/total","https://www.vanderbilt.edu/online-learning/program/master-of-legal-studies/"
"Master of Engineering in Engineering Management","School of Engineering","Master's","Online","30 Credits","2,419/credit","https://www.vanderbilt.edu/online-learning/program/master-of-engineering-in-engineering-management/"
"Master of Science in Computer Science","College of Connected Computing","Master's","Online","30 Credits","2,419/credit","https://www.vanderbilt.edu/online-learning/program/master-of-science-in-computer-science/"
"Master of Science in Artificial Intelligence","College of Connected Computing","Master's","Online","30 Credits","NR","https://computing.vanderbilt.edu/2026/06/22/vanderbilts-ccc-launches-master-of-science-in-ai/"
"Doctor of Ministry in Integrative Chaplaincy","Divinity School","Doctorate","Online","36 Credits","1,193/credit","https://www.vanderbilt.edu/online-learning/program/doctor-of-ministry-in-integrative-chaplain/"
"Doctor of Education in Leadership and Learning in Organizations","Peabody College","Doctorate","Online","3 Years","2,405/credit","https://www.vanderbilt.edu/online-learning/program/edd-in-organizational-learning/"
"Master of Education in Independent School Leadership","Peabody College","Master's","Online","30 Credits","2,405/credit","https://www.vanderbilt.edu/online-learning/program/independent-school-leadership-med/"
"Master of Education in Multilingual Education","Peabody College","Master's","Online","30 Credits","2,492/credit","https://www.vanderbilt.edu/online-learning/program/multilingual-education-online/"
"Master of Education in Innovative Design and Technology in Education","Peabody College","Master's","Online","30 Credits","2,492/credit","https://www.vanderbilt.edu/online-learning/program/innovative-design-technology-education/"
"Master of Education in Applied Behavior Analysis","Peabody College","Master's","Online","30 Credits","2,492/credit","https://www.vanderbilt.edu/online-learning/program/applied-behavior-analysis-online-m-ed/"
"Master of Education in Educational Leadership and Organizational Effectiveness","Peabody College","Master's","Online","30 Credits","2,492/credit","https://www.vanderbilt.edu/online-learning/program/educational-leadership-online-m/"
"Certificate in Social Impact Design and Evaluation","Peabody College","Certificate","Online","12 hours","Varies","https://www.vanderbilt.edu/online-learning/program/certificate-in-social-impact-design-evaluation/"
"Certificate in Pediatric Psychosocial Care","Peabody College","Certificate","Online","12 hours","Varies","https://www.vanderbilt.edu/online-learning/program/certificate-in-pediatric-psychosocial-care/"
"Certificate in Learning Analytics","Peabody College","Certificate","Online","12 hours","Varies","https://www.vanderbilt.edu/online-learning/program/certificate-in-learning-analytics/"
"Certificate in Emerging Learning Technologies and AI","Peabody College","Certificate","Online","12 hours","Varies","https://www.vanderbilt.edu/online-learning/program/certificate-in-emerging-learning-tech-and-ai/"
"Certificate in Early Childhood Policy","Peabody College","Certificate","Online","12 hours","Varies","https://www.vanderbilt.edu/online-learning/program/certificate-in-early-childhood-policy/"
"Dyslexia Studies Certificate","Peabody College","Certificate","Online","12 hours","NR","https://www.vanderbilt.edu/online-learning/program/dyslexia-studies-certificate/"
"Applied Drug Discovery & Development Certificate","School of Medicine Basic Sciences","Certificate","Online","20 Weeks","300","https://www.vanderbilt.edu/online-learning/program/applied-drug-discovery-and-development-certificate/"
"Global Certificate in Corporate Sustainability","Owen Graduate School of Management","Certificate","Online","11 weeks","3,000/total","https://www.vanderbilt.edu/online-learning/program/global-certificate-in-corporate-sustainability/"
"Computed Tomography","Center for Programs in Allied Health","Certificate","Online","6 months","2,500","https://www.vanderbilt.edu/online-learning/program/computed-tomography/"
"Post-Master's Nursing Certificates","School of Nursing","Certificate","Online","Varies","2,057/credit","https://www.vanderbilt.edu/online-learning/program/post-masters-nursing-certificates/"
"Business Management Certificate","Owen Graduate School of Management","Certificate","Online","6 months","995/course","https://www.vanderbilt.edu/online-learning/program/business-mgmt-certificate/"
"Healthcare Management Certificate","Owen Graduate School of Management","Certificate","Online","3 Months","3,795","https://www.vanderbilt.edu/online-learning/program/healthcare-management-certificate/"
